City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Paulo Afonso,BR,2021-10-21 19:19:54,-9.4061,-38.2147,88.68,42,66,11.32
198,Fort Nelson,CA,2021-10-21 19:19:54,58.8053,-122.7002,26.19,100,90,2.3
199,Havelock,US,2021-10-21 19:19:54,34.8791,-76.9013,75.97,70,74,8.01
200,Cibitoke,BI,2021-10-21 19:19:54,-2.8833,29.25,66.2,79,100,4.38
201,Egra,CZ,2021-10-21 19:17:49,50.0796,12.3739,50.16,75,44,19.37
202,Saint-Philippe,RE,2021-10-21 19:19:54,-21.3585,55.7679,71.22,75,0,6.02
203,Dingle,PH,2021-10-21 19:19:55,10.9995,122.6711,75.99,93,100,5.7
204,Coromoro,CO,2021-10-21 19:19:55,6.2946,-73.0402,71.82,84,87,1.23
205,Gorontalo,ID,2021-10-21 19:19:55,0.5412,123.0595,75.96,94,100,2.51
206,Marawi,PH,2021-10-21 19:19:55,7.9986,124.2928,67.64,96,90,2.28
207,Raudeberg,NO,2021-10-21 19:19:55,61.9875,5.1352,41.2,82,100,1.99
208,Healesville,AU,2021-10-21 19:19:56,-37.65,145.5167,58.51,99,55,2.86
209,Tasiilaq,GL,2021-10-21 19:19:56,65.6145,-37.6368,27.1,75,7,7.83
210,Isangel,VU,2021-10-21 19:19:56,-19.55,169.2667,73.51,88,99,3.44
211,Faanui,PF,2021-10-21 19:19:56,-16.4833,-151.75,77.38,77,7,6.73
212,Alihe,CN,2021-10-21 19:19:56,50.5667,123.7167,30.24,80,15,3.44
213,Erenhot,CN,2021-10-21 19:19:56,43.6475,111.9767,37.31,46,0,3.22
214,Tiarei,PF,2021-10-21 19:19:57,-17.5333,-149.3333,82.42,77,46,7.47
215,Eskisehir,TR,2021-10-21 19:18:44,39.7767,30.5206,48.11,66,0,6.91
216,Nuuk,GL,2021-10-21 19:19:57,64.1835,-51.7216,30.81,86,20,17.27
217,Sur,OM,2021-10-21 19:19:57,22.5667,59.5289,79.92,65,2,11.23
218,Novorudnyy,RU,2021-10-21 19:19:57,51.5026,58.1873,34.29,96,100,19.46
219,Alexandria,EG,2021-10-21 19:17:48,31.2156,29.9553,73.36,56,40,12.66
220,Pisco,PE,2021-10-21 19:19:57,-13.7,-76.2167,68.05,68,0,6.91
221,Kabompo,ZM,2021-10-21 19:19:58,-13.5927,24.2008,79.41,37,100,2.24
222,Iskateley,RU,2021-10-21 19:19:58,67.6803,53.1512,28.6,94,100,14.81
223,Port Elizabeth,ZA,2021-10-21 19:19:58,-33.918,25.5701,66.49,82,75,11.5
224,Mar Del Plata,AR,2021-10-21 19:16:32,-38.0023,-57.5575,78.82,90,0,18.01
225,Torbay,CA,2021-10-21 19:19:58,47.6666,-52.7314,52.57,74,75,21.85
226,Evensk,RU,2021-10-21 19:19:58,61.95,159.2333,4.51,75,8,8.79
227,Grindavik,IS,2021-10-21 19:19:58,63.8424,-22.4338,41.47,75,75,10.36
228,Concordia,AR,2021-10-21 19:18:40,-31.393,-58.0209,78.87,45,75,8.99
229,Yeppoon,AU,2021-10-21 19:19:59,-23.1333,150.7333,71.38,90,3,6.51
230,Zverinogolovskoye,RU,2021-10-21 19:19:59,54.4586,64.8542,30.0,85,10,8.34
231,Asfi,MA,2021-10-21 19:19:59,32.2994,-9.2372,68.11,84,1,17.25
232,Luzhou,CN,2021-10-21 19:20:00,28.8724,105.4405,55.8,96,100,2.33
233,Ahipara,NZ,2021-10-21 19:20:00,-35.1667,173.1667,60.31,94,100,10.02
234,Yulara,AU,2021-10-21 19:20:00,-25.2406,130.9889,67.84,24,0,9.22
235,New Norfolk,AU,2021-10-21 19:20:00,-42.7826,147.0587,58.5,70,100,2.8
236,Vargashi,RU,2021-10-21 19:20:01,55.3556,65.8467,28.74,87,9,9.42
237,Artvin,TR,2021-10-21 19:18:13,41.1667,41.8333,45.68,57,0,4.54
238,Barrow,US,2021-10-21 19:20:01,71.2906,-156.7887,26.62,86,90,14.97
239,Ovsyanka,RU,2021-10-21 19:20:02,55.9575,92.5519,54.57,65,97,5.95
240,Carauari,BR,2021-10-21 19:20:02,-4.8828,-66.8958,86.32,73,68,3.06
241,Alta Floresta,BR,2021-10-21 19:20:02,-9.8756,-56.0861,87.62,66,20,3.44
242,Nome,US,2021-10-21 19:20:02,64.5011,-165.4064,33.87,70,90,8.05
243,Pampa,US,2021-10-21 19:20:02,35.5362,-100.9599,73.56,37,75,11.5
244,Kolondieba,ML,2021-10-21 19:20:03,11.0882,-6.8926,81.3,69,100,4.09
245,Quatre Cocos,MU,2021-10-21 19:20:03,-20.2078,57.7625,74.08,82,23,9.26
246,Callaguip,PH,2021-10-21 19:20:03,18.0714,120.4867,79.23,83,57,4.16
247,Lodja,CD,2021-10-21 19:20:03,-3.4833,23.4333,68.68,98,99,2.42
248,Santa Marta,CO,2021-10-21 19:20:03,11.2408,-74.199,91.35,77,44,9.26
249,Union,US,2021-10-21 19:17:15,40.6334,-74.2663,79.3,42,1,5.75
250,Los Llanos De Aridane,ES,2021-10-21 19:20:04,28.6585,-17.9182,74.12,80,40,14.97
251,Changping,CN,2021-10-21 19:20:04,40.2186,116.2197,44.96,44,0,11.99
252,Vardo,NO,2021-10-21 19:20:04,70.3705,31.1107,35.58,87,90,31.07
253,Bien Hoa,VN,2021-10-21 19:20:04,10.95,106.8167,76.98,95,100,3.76
254,Vila Franca Do Campo,PT,2021-10-21 19:20:04,37.7167,-25.4333,68.41,72,93,3.44
255,Bam,IR,2021-10-21 19:16:03,29.106,58.357,70.3,24,0,17.49
256,Berlevag,NO,2021-10-21 19:20:05,70.8578,29.0864,35.55,87,75,32.21
257,Kaeo,NZ,2021-10-21 19:20:05,-35.1,173.7833,63.32,97,100,11.59
258,Magadan,RU,2021-10-21 19:20:05,59.5667,150.8,16.18,41,24,4.16
259,Pedernales,DO,2021-10-21 19:20:05,18.0384,-71.744,86.27,65,21,4.38
260,San Quintin,MX,2021-10-21 19:20:05,30.4833,-115.95,71.96,58,1,9.4
261,Biak,ID,2021-10-21 19:20:05,-0.9131,122.8766,76.53,83,100,0.87
262,Bandarbeyla,SO,2021-10-21 19:20:06,9.4942,50.8122,77.67,83,50,5.61
263,Rurrenabaque,BO,2021-10-21 19:20:06,-14.4413,-67.5278,100.29,47,40,4.61
264,Praya,CV,2021-10-21 19:16:58,14.9215,-23.5087,82.94,61,0,20.71
265,Riyadh,SA,2021-10-21 19:17:15,24.6877,46.7219,78.94,28,0,9.93
266,Tongchuan,CN,2021-10-21 19:20:06,35.0806,109.0897,46.18,54,100,4.12
267,Wau,SS,2021-10-21 19:17:51,7.7029,27.9953,75.61,77,77,1.95
268,Mopipi,BW,2021-10-21 19:20:06,-21.1833,24.8833,79.93,39,100,7.52
269,Dikson,RU,2021-10-21 19:20:07,73.5069,80.5464,23.43,71,100,10.29
270,Fez,MA,2021-10-21 19:20:07,34.0372,-4.9998,71.85,60,0,8.05
271,Sinazongwe,ZM,2021-10-21 19:20:07,-17.2614,27.4618,77.85,61,88,10.6
272,Kloulklubed,PW,2021-10-21 19:20:07,7.0419,134.2556,82.09,70,19,5.19
273,Launceston,AU,2021-10-21 19:20:07,-41.45,147.1667,59.61,87,90,3.0
274,Stillwater,US,2021-10-21 19:20:08,36.1156,-97.0584,72.77,42,1,8.05
275,Acheng,CN,2021-10-21 19:20:08,45.5454,126.977,30.13,56,12,4.52
276,Carutapera,BR,2021-10-21 19:20:08,-1.195,-46.02,82.56,75,100,6.11
277,Razole,IN,2021-10-21 19:20:08,16.4833,81.8333,77.5,85,14,2.91
278,Marsaxlokk,MT,2021-10-21 19:20:08,35.8419,14.5431,73.08,88,20,5.75
279,Qasigiannguit,GL,2021-10-21 19:20:08,68.8193,-51.1922,30.45,97,65,3.87
